contInit	contNumb	contLotIdent	carInit	carNumb	carSequIndex	platfSequIndex	platfCoordX	platfIdent	slotSequIndex	carSlotLevel
TGHU	307621	B0	KZ	527731	0	0	45	A	0	bot
WCKU	863156	B0	KZ	527731	0	0	45	A	1	top
FKCU	816675	B1	LWWX	654787	1	1	105	A	2	bot
CGMU	651777	B1	LWWX	654787	1	1	105	A	3	top
CNGU	1800	B2	LWWX	759861	2	2	165	A	4	bot
CGMU	515337	B2	LWWX	759861	2	2	165	A	5	top
WCKU	850775	B2	LWWX	759861	2	3	230	E	6	bot
FFLU	936833	B0	LWWX	759861	2	3	230	E	7	top
WCKU	708333	B1	LWWX	759861	2	4	295	D	8	bot
GEKU	921510	B2	LWWX	759861	2	4	295	D	9	top
WCKU	705939	B1	LWWX	759861	2	5	360	C	10	bot
FCMU	891996	B2	LWWX	759861	2	5	360	C	11	top
CAMU	545100	B2	LWWX	759861	2	6	425	B	12	bot
FCMU	891406	B2	LWWX	759861	2	6	425	B	13	top
WCKU	857500	B0	LWWX	727174	3	7	485	A	14	bot
NFNU	696988	B0	LWWX	727174	3	7	485	A	15	top
FFLU	843666	B0	LWWX	727174	3	8	530	C	16	bot
FFLU	777328	B2	LWWX	727174	3	8	530	C	17	top
WCKU	709029	B2	LWWX	727174	3	9	575	B	18	bot
WCKU	845523	B0	LWWX	727174	3	9	575	B	19	top
WCKU	885627	B1	LWWX	788244	4	10	635	A	20	bot
WCKU	841927	B1	LWWX	788244	4	10	635	A	21	top
DRYU	961601	B0	LWWX	788244	4	11	700	C	22	bot
KEGU	520293	B0	LWWX	788244	4	11	700	C	23	top
FKCU	817857	B2	LWWX	788244	4	12	765	B	24	bot
WCKU	878880	B0	LWWX	788244	4	12	765	B	25	top
WCKU	895897	B2	KZ	527653	5	13	825	A	26	bot
FKCU	808662	B2	KZ	527653	5	13	825	A	27	top
TTRU	484417	B1	LWWX	469972	6	14	885	A	28	bot
CGMU	938442	B0	LWWX	469972	6	14	885	A	29	top
TTRU	484357	B0	LWWX	724313	7	15	955	A	30	bot
WCKU	889167	B1	LWWX	724313	7	15	955	A	31	top
WCKU	255906	B1	LWWX	724313	7	16	1020	C	32	bot
CGMU	513465	B0	LWWX	724313	7	16	1020	C	33	top
TRMU	50414	B0	LWWX	724313	7	17	1085	B	34	bot
WCKU	893980	B1	LWWX	724313	7	17	1085	B	35	top
WCKU	652038	B1	LWWX	62040	8	18	1145	A	36	bot
CRKU	906409	B2	LWWX	62040	8	18	1145	A	37	top
CGMU	928328	B1	LWWX	62040	8	19	1190	E	38	bot
BKMU	921575	B1	LWWX	62040	8	19	1190	E	39	top
WCKU	652048	B1	LWWX	62040	8	20	1235	D	40	bot
WCKU	275107	B0	LWWX	62040	8	20	1235	D	41	top
XXXU	818289	B2	LWWX	62040	8	21	1280	C	42	bot
TCNU	250967	B1	LWWX	62040	8	21	1280	C	43	top
TTRU	483490	B0	LWWX	62040	8	22	1325	B	44	bot
CGMU	509296	B1	LWWX	62040	8	22	1325	B	45	top
ACLU	278787	B2	BRIS	551295	9	23	1385	A	46	bot
ACLU	596564	B1	BRIS	551295	9	23	1385	A	47	top
ACLU	964763	B2	LWWX	678351	10	24	1445	A	48	bot
ACLU	973043	B0	LWWX	678351	10	24	1445	A	49	top
ACLU	975060	B0	LWWX	783425	11	25	1505	A	50	bot
APRU	572834	B2	LWWX	783425	11	25	1505	A	51	top
BKMU	204624	B1	LWWX	783425	11	26	1570	E	52	bot
BKMU	293977	B1	LWWX	783425	11	26	1570	E	53	top
BKMU	400293	B2	LWWX	783425	11	27	1635	D	54	bot
BKMU	938598	B0	LWWX	783425	11	27	1635	D	55	top
BKMU	967034	B1	LWWX	783425	11	28	1700	C	56	bot
BKMU	967249	B2	LWWX	783425	11	28	1700	C	57	top
CAMU	826316	B2	LWWX	783425	11	29	1765	B	58	bot
CAMU	922734	B0	LWWX	783425	11	29	1765	B	59	top
