contInit	contNumb	contLotIdent	carInit	carNumb	carSequIndex	platfSequIndex	platfCoordX	platfIdent	slotSequIndex	carSlotLevel
TGHU	307621	B2	KZ	527731	0	0	35	A	0	bot
WCKU	863156	B0	KZ	527731	0	0	35	A	1	top
FKCU	816675	B2	LWWX	654787	1	1	95	A	2	bot
CGMU	651777	B2	LWWX	654787	1	1	95	A	3	top
CNGU	1800	B0	LWWX	759861	2	2	155	A	4	bot
CGMU	515337	B1	LWWX	759861	2	2	155	A	5	top
WCKU	850775	B1	LWWX	759861	2	3	200	E	6	bot
FFLU	936833	B1	LWWX	759861	2	3	200	E	7	top
WCKU	708333	B2	LWWX	759861	2	4	245	D	8	bot
GEKU	921510	B0	LWWX	759861	2	4	245	D	9	top
WCKU	705939	B0	LWWX	759861	2	5	290	C	10	bot
FCMU	891996	B2	LWWX	759861	2	5	290	C	11	top
CAMU	545100	B0	LWWX	759861	2	6	335	B	12	bot
FCMU	891406	B0	LWWX	759861	2	6	335	B	13	top
WCKU	857500	B1	LWWX	727174	3	7	395	A	14	bot
NFNU	696988	B0	LWWX	727174	3	7	395	A	15	top
FFLU	843666	B2	LWWX	727174	3	8	460	C	16	bot
FFLU	777328	B0	LWWX	727174	3	8	460	C	17	top
WCKU	709029	B1	LWWX	727174	3	9	525	B	18	bot
WCKU	845523	B1	LWWX	727174	3	9	525	B	19	top
WCKU	885627	B1	LWWX	788244	4	10	585	A	20	bot
WCKU	841927	B2	LWWX	788244	4	10	585	A	21	top
DRYU	961601	B2	LWWX	788244	4	11	630	C	22	bot
KEGU	520293	B1	LWWX	788244	4	11	630	C	23	top
FKCU	817857	B1	LWWX	788244	4	12	675	B	24	bot
WCKU	878880	B1	LWWX	788244	4	12	675	B	25	top
WCKU	895897	B2	KZ	527653	5	13	735	A	26	bot
FKCU	808662	B2	KZ	527653	5	13	735	A	27	top
TTRU	484417	B0	LWWX	469972	6	14	795	A	28	bot
CGMU	938442	B0	LWWX	469972	6	14	795	A	29	top
