contInit	contNumb	contLotIdent	carInit	carNumb	carSequIndex	platfSequIndex	platfCoordX	platfIdent	slotSequIndex	carSlotLevel
TGHU	307621	B0	KZ	527731	0	0	35	A	0	bot
WCKU	863156	B0	KZ	527731	0	0	35	A	1	top
FKCU	816675	B0	LWWX	654787	1	1	95	A	2	bot
CGMU	651777	B0	LWWX	654787	1	1	95	A	3	top
WCKU	857500	B0	LWWX	727174	2	2	155	A	4	bot
NFNU	696988	B0	LWWX	727174	2	2	155	A	5	top
FFLU	843666	B0	LWWX	727174	2	3	200	C	6	bot
FFLU	777328	B0	LWWX	727174	2	3	200	C	7	top
WCKU	709029	B0	LWWX	727174	2	4	245	B	8	bot
WCKU	845523	B0	LWWX	727174	2	4	245	B	9	top
ACLU	975060	B0	LWWX	783425	3	5	305	A	10	bot
APRU	572834	B0	LWWX	783425	3	5	305	A	11	top
BKMU	204624	B0	LWWX	783425	3	6	370	E	12	bot
BKMU	293977	B0	LWWX	783425	3	6	370	E	13	top
BKMU	400293	B0	LWWX	783425	3	7	435	D	14	bot
BKMU	938598	B0	LWWX	783425	3	7	435	D	15	top
BKMU	967034	B0	LWWX	783425	3	8	500	C	16	bot
BKMU	967249	B0	LWWX	783425	3	8	500	C	17	top
CAMU	826316	B0	LWWX	783425	3	9	565	B	18	bot
CAMU	922734	B0	LWWX	783425	3	9	565	B	19	top
