contInit	contNumb	contLotIdent	coordLotX	coordLotY	contStackIndex	contStackHeigth	contDepth
WCKU	275107	B0	370	100	0	3	0
CAMU	922734	B0	370	100	0	3	1
FFLU	936833	B0	370	100	0	3	2
TRMU	50414	B0	370	110	1	3	0
WCKU	863156	B0	370	110	1	3	1
TGHU	307621	B0	370	110	1	3	2
FFLU	843666	B0	370	120	2	3	0
CGMU	938442	B0	370	120	2	3	1
TTRU	484357	B0	370	120	2	3	2
KEGU	520293	B0	370	130	3	3	0
BKMU	938598	B0	370	130	3	3	1
CGMU	513465	B0	370	130	3	3	2
ACLU	973043	B0	370	140	4	3	0
NFNU	696988	B0	370	140	4	3	1
ACLU	975060	B0	370	140	4	3	2
WCKU	845523	B0	370	150	5	3	0
WCKU	857500	B0	370	150	5	3	1
DRYU	961601	B0	370	150	5	3	2
TTRU	483490	B0	370	160	6	2	0
WCKU	878880	B0	370	160	6	2	1
WCKU	705939	B1	430	100	0	3	0
BKMU	967034	B1	430	100	0	3	1
CGMU	509296	B1	430	100	0	3	2
BKMU	204624	B1	430	110	1	3	0
WCKU	889167	B1	430	110	1	3	1
TTRU	484417	B1	430	110	1	3	2
BKMU	921575	B1	430	120	2	3	0
CGMU	651777	B1	430	120	2	3	1
FKCU	816675	B1	430	120	2	3	2
ACLU	596564	B1	430	130	3	3	0
WCKU	841927	B1	430	130	3	3	1
WCKU	652038	B1	430	130	3	3	2
CGMU	928328	B1	430	140	4	3	0
WCKU	885627	B1	430	140	4	3	1
WCKU	708333	B1	430	140	4	3	2
WCKU	652048	B1	430	150	5	3	0
BKMU	293977	B1	430	150	5	3	1
TCNU	250967	B1	430	150	5	3	2
WCKU	893980	B1	430	160	6	2	0
WCKU	255906	B1	430	160	6	2	1
FCMU	891406	B2	490	100	0	3	0
BKMU	967249	B2	490	100	0	3	1
FFLU	777328	B2	490	100	0	3	2
CRKU	906409	B2	490	110	1	3	0
FCMU	891996	B2	490	110	1	3	1
ACLU	278787	B2	490	110	1	3	2
CAMU	826316	B2	490	120	2	3	0
CGMU	515337	B2	490	120	2	3	1
CNGU	1800	B2	490	120	2	3	2
FKCU	817857	B2	490	130	3	3	0
CAMU	545100	B2	490	130	3	3	1
BKMU	400293	B2	490	130	3	3	2
APRU	572834	B2	490	140	4	3	0
FKCU	808662	B2	490	140	4	3	1
ACLU	964763	B2	490	140	4	3	2
WCKU	895897	B2	490	150	5	2	0
GEKU	921510	B2	490	150	5	2	1
XXXU	818289	B2	490	160	6	3	0
WCKU	850775	B2	490	160	6	3	1
WCKU	709029	B2	490	160	6	3	2
