contInit	contNumb	contLotIdent	coordLotX	coordLotY	contStackIndex	contStackHeigth	contDepth
FCMU	891406	B0	370	100	0	3	0
WCKU	863156	B0	370	100	0	3	1
CAMU	545100	B0	370	100	0	3	2
NFNU	696988	B0	370	110	1	3	0
CNGU	1800	B0	370	110	1	3	1
CGMU	938442	B0	370	110	1	3	2
GEKU	921510	B0	370	120	2	3	0
WCKU	705939	B0	370	120	2	3	1
TTRU	484417	B0	370	120	2	3	2
FFLU	777328	B0	370	130	3	1	0
KEGU	520293	B1	430	100	0	3	0
WCKU	885627	B1	430	100	0	3	1
WCKU	878880	B1	430	100	0	3	2
CGMU	515337	B1	430	110	1	3	0
WCKU	857500	B1	430	110	1	3	1
FKCU	817857	B1	430	110	1	3	2
FFLU	936833	B1	430	120	2	3	0
WCKU	845523	B1	430	120	2	3	1
WCKU	709029	B1	430	120	2	3	2
WCKU	850775	B1	430	130	3	1	0
FCMU	891996	B2	490	100	0	2	0
WCKU	708333	B2	490	100	0	2	1
CGMU	651777	B2	490	110	1	3	0
FFLU	843666	B2	490	110	1	3	1
FKCU	816675	B2	490	110	1	3	2
WCKU	841927	B2	490	120	2	3	0
FKCU	808662	B2	490	120	2	3	1
DRYU	961601	B2	490	120	2	3	2
WCKU	895897	B2	490	130	3	2	0
TGHU	307621	B2	490	130	3	2	1
