contInit	contNumb	contLotIdent	coordLotX	coordLotY	contStackIndex	contStackHeigth	contDepth
WCKU	845523	B0	95	100	0	3	0
WCKU	709029	B0	95	100	0	3	1
WCKU	863156	B0	95	100	0	3	2
BKMU	400293	B0	95	110	1	3	0
BKMU	967249	B0	95	110	1	3	1
TGHU	307621	B0	95	110	1	3	2
NFNU	696988	B0	95	120	2	3	0
CGMU	651777	B0	95	120	2	3	1
WCKU	857500	B0	95	120	2	3	2
FFLU	777328	B0	95	130	3	3	0
FKCU	816675	B0	95	130	3	3	1
FFLU	843666	B0	95	130	3	3	2
BKMU	938598	B0	95	140	4	3	0
BKMU	293977	B0	95	140	4	3	1
BKMU	967034	B0	95	140	4	3	2
BKMU	204624	B0	95	150	5	2	0
APRU	572834	B0	95	150	5	2	1
CAMU	922734	B0	95	160	6	3	0
CAMU	826316	B0	95	160	6	3	1
ACLU	975060	B0	95	160	6	3	2
